Description,List_Price,Model,Milleage,Gear_Type,Location,Price,Mileage,Year,State,Brand,Origin,Engine_L
"2018 Land Rover Range Rover 3.0 P400 Vogue SE SUV - VOGUE DIESEL WTY 2025 ,CRYSTAL BLACK IN COLOUR,PANAROMIC ROOF,POWER BOOT,ONE OF DATO VIP OWNER","RM 228,500",Land Rover Range Rover,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",228500.0,82500.0,2018.0,Kuala Lumpur,Land Rover,Continental,3.0
"2014 Porsche Cayman 2.7 Coupe - GTS WTY 2025 2019,CRYSTAL BLACK IN COLOUR,SMOOTH ENGINE GEAR BOX,SELDOM USE,ONEOF DATIN OWNER","RM 228,500",Porsche Cayman,65 - 70K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",228500.0,67500.0,2014.0,Kuala Lumpur,Porsche,Continental,2.7
"2017 MINI 5 Door 1.5 Cooper Hatchback - CLUBMAN WTY 2025 ,CRYSTAL GREY IN COLOUR,PUSH START,SMOOTH ENGINE GEAR BOX,ONE OF DATIN OWNER","RM 108,500",MINI 5 Door,75 - 80K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",108500.0,77500.0,2017.0,Kuala Lumpur,MINI,Continental,1.5
"2016 Land Rover Range Rover Sport 3.0 HST SUV - SVR WTY 2025 , CRYSTAL BLACK IN COLOUR,POWER BOOT,SMOOTH ENGINE GEAR BOX,ONE OF VIP OWNER","RM 258,500",Land Rover Range Rover Sport,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",258500.0,87500.0,2016.0,Kuala Lumpur,Land Rover,Continental,3.0
"2014/2018 Porsche Macan 3.0 S SUV - GTS NEW FACELIFT 2025 2018 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT BLACK IN COLOUR,PANORAMIC ROOF,ONE OF DATIN OWNER","RM 228,500",Porsche Macan,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",228500.0,87500.0,2014.0,Kuala Lumpur,Porsche,Continental,3.0
2021 Toyota Harrier 2.0 SUV - Luxury BSM DIM POWER BOAT Rear Camera 18 Rim UNREG GRADE 4.5,"RM 177,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Cheras",177000.0,27500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.0
2013 Perodua Myvi 1.3 EZi Hatchback,"RM 22,800",Perodua Myvi,105 - 110K KM,Automatic,"Selangor, Klang",22800.0,107500.0,2013.0,Selangor,Perodua,Asian,1.3
2014 Honda Jazz 1.5 E i-VTEC Hatchback,"RM 41,800",Honda Jazz,90 - 95K KM,Automatic,"Selangor, Klang",41800.0,92500.0,2014.0,Selangor,Honda,Asian,1.5
2018/2019 Honda Civic 1.5 TC VTEC Premium Sedan - TCP (A) Full Service Record Under,"RM 86,800",Honda Civic,100 - 105K KM,Automatic,"Selangor, Kajang",86800.0,102500.0,2018.0,Selangor,Honda,Asian,1.5
2016 Toyota Camry 2.5 Hybrid Premium Sedan - (A) Full Service Record Under Push Start One Owner,"RM 65,800",Toyota Camry,125 - 130K KM,Automatic,"Selangor, Bandar Baru Bangi",65800.0,127500.0,2016.0,Selangor,Toyota,Asian,2.5
2016 Mazda CX-3 2.0 SKYACTIV SUV - 2WD (A) 1 OWNER NO PROCESSING CHARGE,"RM 59,800",Mazda CX-3,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras",59800.0,92500.0,2016.0,Kuala Lumpur,Mazda,Asian,2.0
2015 Suzuki Jimny 1.3 JLX SUV - (A) 1 OWNER NO PROCESSING CHARGE,"RM 81,888",Suzuki Jimny,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras",81888.0,87500.0,2015.0,Kuala Lumpur,Suzuki,Asian,1.3
2015 Mercedes-Benz E250 2.0 AMG Sport Coupe - Mercedes Benz AMG with Number Plate 58,"RM 105,000",Mercedes-Benz E250,110 - 115K KM,Automatic,"Johor, Johor Bahru",105000.0,112500.0,2015.0,Johor,Mercedes-Benz,Continental,2.0
2014 Mercedes-Benz E200 2.0 Avantgarde Sedan,"RM 77,000",Mercedes-Benz E200,85 - 90K KM,Automatic,"Johor, Johor Bahru",77000.0,87500.0,2014.0,Johor,Mercedes-Benz,Continental,2.0
2015 Mercedes-Benz CLA200 1.6 Coupe - (With 1 Year Warranty),"RM 95,000",Mercedes-Benz CLA200,95 - 100K KM,Automatic,"Johor, Johor Bahru",95000.0,97500.0,2015.0,Johor,Mercedes-Benz,Continental,1.6
2018 Honda CR-V 1.5 TC VTEC SUV - TCP ELECTRIC SEAT PADDLE SHIFT WARRANTY,"RM 95,800",Honda CR-V,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras",95800.0,77500.0,2018.0,Kuala Lumpur,Honda,Asian,1.5
2018 BMW 330e 2.0 M Sport Sedan - SUNROOF PADDLE SHIFT WARRANTY F30,"RM 79,800",BMW 330e,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras",79800.0,82500.0,2018.0,Kuala Lumpur,BMW,Continental,2.0
2015 Porsche Macan 3.6 Turbo SUV - S (A) Sport Chrono Package Panoramic Sunroof Bose Surround Sound System 2.0,"RM 239,000",Porsche Macan,25 - 30K KM,Automatic,"Selangor, Serdang",239000.0,27500.0,2015.0,Selangor,Porsche,Continental,3.6
"2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 81,800",BMW 330e,145 - 150K KM,Automatic,"Penang, Bukit Mertajam",81800.0,147500.0,2017.0,Penang,BMW,Continental,2.0
"2018 Mercedes-Benz C180 1.6 Avantgarde Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 139,800",Mercedes-Benz C180,95 - 100K KM,Automatic,"Penang, Bukit Mertajam",139800.0,97500.0,2018.0,Penang,Mercedes-Benz,Continental,1.6
"2018 BMW X3 2.0 xDrive30i Luxury SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 158,800",BMW X3,90 - 95K KM,Automatic,"Penang, Bukit Mertajam",158800.0,92500.0,2018.0,Penang,BMW,Continental,2.0
"2019 MINI Countryman 2.0 Cooper S Sports SUV - Cooper S (A) 1 YEAR WARRANTY, BMW PREMIUM SELECTION","RM 159,800",MINI Countryman,60 - 65K KM,Automatic,"Penang, Bukit Mertajam",159800.0,62500.0,2019.0,Penang,MINI,Continental,2.0
"2017 BMW 740Le 2.0 xDrive Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 178,800",BMW 740Le,65 - 70K KM,Automatic,"Penang, Bukit Mertajam",178800.0,67500.0,2017.0,Penang,BMW,Continental,2.0
"2017 Lexus RX200t 2.0 SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 199,800",Lexus RX200t,60 - 65K KM,Automatic,"Penang, Bukit Mertajam",199800.0,62500.0,2017.0,Penang,Lexus,Asian,2.0
