Description,List_Price,Model,Mileage,Gear_Type,Location,Price,Year,State,Brand,Origin,Engine_L,Car_Age,Log_Price,Annual_Mileage,Has_Warranty
2015 Toyota Harrier 2.0 Premium Advanced SUV - Ori Modellista Bodykit Panaroof P Boot P Start JBL Woofer BSM Lanekeep Assist Red ElectricSeat 18 AD S Rim,"RM 66,900",Toyota Harrier,87500.0,Automatic,"Kuala Lumpur, Desa Petaling",66900.0,2015.0,Kuala Lumpur,Toyota,Asian,2.0,10.0,11.110969193687714,8750.0,0
2015 Honda City 1.5 V Sedan,"RM 38,600",Honda City,117500.0,Automatic,"Negeri Sembilan, Seremban",38600.0,2015.0,Negeri Sembilan,Honda,Asian,1.5,10.0,10.5610334618531,11750.0,0
2019 Proton Exora 1.6 Executive MPV,"-5% RM 26,500",Proton Exora,111415.0,Automatic,"Johor, Masai",26500.0,2019.0,Johor,Proton,Asian,1.6,6.0,10.184937747111391,18569.166666666668,0
2020 Proton Saga 1.3 Premium Sedan - OFFER,"RM 18,500",Proton Saga,42500.0,Automatic,"Kuala Lumpur, Kepong",18500.0,2020.0,Kuala Lumpur,Proton,Asian,1.3,5.0,9.825580063659602,8500.0,0
2013 Toyota Vios 1.5 G Sedan,"-18% RM 24,800",Toyota Vios,208384.0,Automatic,"Johor, Masai",24800.0,2013.0,Johor,Toyota,Asian,1.5,12.0,10.118639253920785,17365.333333333332,0
2020 Proton X70 1.8 Premium X SUV - GOOD CONDITION,"RM 49,700",Proton X70,107500.0,Automatic,"Selangor, Puchong",49700.0,2020.0,Selangor,Proton,Asian,1.8,5.0,10.813780332606648,21500.0,0
2023/2024 Ford Ranger 2.0 Wildtrak Dual Cab Pickup - One careful owner Under warranty Tip top condition,"RM 125,500",Ford Ranger,22500.0,Automatic,"Kuala Lumpur, Setapak",125500.0,2023.0,Kuala Lumpur,Ford,Continental,2.0,2.0,11.74006900564972,11250.0,1
2025 BMW 218i 1.5 Final Edition Coupe,"RM 165,000",BMW 218i,2500.0,Automatic,"Selangor, Shah Alam",165000.0,2025.0,Selangor,BMW,Continental,1.5,0.0,12.013706813470414,2500.0,0
2018 Mercedes-Benz A200 1.3 Progressive Line Hatchback,"-7% RM 105,000",Mercedes-Benz A200,100088.0,Automatic,"Johor, Masai",105000.0,2018.0,Johor,Mercedes-Benz,Continental,1.3,7.0,11.561725152903833,14298.285714285714,0
"2020 BMW 330e 2.0 M Sport Sedan - December (A) G20 Original Package High Spec version ,Twin Power Turbo Petrol, Local brand New by MALAYSIA 1 Owner","RM 118,888",BMW 330e,62500.0,Automatic,"Penang, Greenlane",118888.0,2020.0,Penang,BMW,Continental,2.0,5.0,11.685945563680873,12500.0,0
2019 BMW 330e 2.0 M Sport Sedan - 1 HAND DOCTOR OWNER ORIGINAL MILLAGE 60K BATTERY HEALTH 90PERCENT STILL OK ALL CONDITION,"RM 66,900",BMW 330e,62500.0,Automatic,"Selangor, Ampang",66900.0,2019.0,Selangor,BMW,Continental,2.0,6.0,11.110969193687714,10416.666666666666,0
2023 Perodua Bezza 1.3 X Sedan - FULL SERVICE ROCORD,"RM 32,700",Perodua Bezza,47500.0,Automatic,"Selangor, Puchong",32700.0,2023.0,Selangor,Perodua,Asian,1.3,2.0,10.39516093745751,23750.0,0
"2017 Honda City 1.5 E Sedan - L I-VTEC ,GM 6 FACELIFT MODEL,FULL BODYKIT,ONE OWNER CAREFUL,PUSH START STOP ENGINE ,INTERIOR FABRICS SEAT CLEAN.","RM 35,999",Honda City,122500.0,Automatic,"Selangor, Puchong",35999.0,2017.0,Selangor,Honda,Asian,1.5,8.0,10.491274217438248,15312.5,0
2020 Perodua Aruz 1.5 AV SUV,"RM 52,900",Perodua Aruz,47500.0,Automatic,"Johor, Johor Bahru",52900.0,2020.0,Johor,Perodua,Asian,1.5,5.0,10.876177521259402,9500.0,0
"2015 Porsche Cayman 2.7 Coupe - 2020 Registered , Low Mileage 77k , Direct To Owner 4 New Tayar Pirelli New Battery","RM 188,000",Porsche Cayman,72500.0,Automatic,"Selangor, Shah Alam",188000.0,2015.0,Selangor,Porsche,Continental,2.7,10.0,12.144202560946876,7250.0,0
"2021 Perodua Aruz 1.5 AV SUV - (AUTO) LEATHER SEAT HIGHSPEC,9O KM MILLEAGE,FULL BODYKIT,TIP TOP CONDITION LIKE NEW CAR CLEAN INTERIOR AND EXTERIOR.","RM 44,800",Perodua Aruz,92500.0,Automatic,"Selangor, Puchong",44800.0,2021.0,Selangor,Perodua,Asian,1.5,4.0,10.709985739582528,23125.0,0
2017 Honda Civic 1.5 TC-P Sedan - GOOD CONDITION TRYE R BODY KIT,"RM 56,700",Honda Civic,97500.0,Automatic,"Selangor, Puchong",56700.0,2017.0,Selangor,Honda,Asian,1.5,8.0,10.945547126244623,12187.5,0
"2013 Kia Sportage 2.0 SUV - (AT) (SL) , SUNROOF , TIP TOP CONDITION, PUSH START , FULL SPEC , 130KM MILLEAGE.","RM 20,800",Kia Sportage,132500.0,Automatic,"Selangor, Puchong",20800.0,2013.0,Selangor,Kia,Asian,2.0,12.0,9.942756341456828,11041.666666666666,0
"2017 Perodua AXIA 1.0 SE Hatchback - , 81KM , INTERIOR CLEAN , TIP TOP CONDITION.","RM 22,999",Perodua AXIA,82500.0,Automatic,"Selangor, Puchong",22999.0,2017.0,Selangor,Perodua,Asian,1.0,8.0,10.043249494911286,10312.5,0
2019 Toyota Yaris 1.5 E Hatchback - 70093KM,"RM 49,800",Toyota Yaris,72500.0,Automatic,"Selangor, Shah Alam",49800.0,2019.0,Selangor,Toyota,Asian,1.5,6.0,10.815790343132422,12083.333333333334,0
2020 Toyota Vios 1.5 G Sedan,"RM 58,900",Toyota Vios,82500.0,Automatic,"Negeri Sembilan, Seremban",58900.0,2020.0,Negeri Sembilan,Toyota,Asian,1.5,5.0,10.983613347424248,16500.0,0
